epoch,train loss,val mean dice,val hausdorff
1,0.7150660991668701,0.0,0.0
2,0.630062136054039,0.0,0.0
3,0.6232657119631767,0.0,0.0
4,0.6158209457993508,0.0,0.0
5,0.6186426341533661,0.0,0.0
6,0.6126271724700928,0.0,0.0
7,0.6136148348450661,0.0,0.0
8,0.6156636670231819,0.0,0.0
9,0.6141641959547997,0.0,0.0
10,0.6152989163994789,0.0,0.0
11,0.611351253092289,0.0,0.0
12,0.6114818006753922,0.0,0.0
13,0.6115225970745086,0.0,92.59356689453125
14,0.610724326968193,0.0,113.41397857666016
1,0.7739868789911271,0.0006166824023239315,185.90289306640625
2,0.670053879916668,0.0,164.13816833496094
1,0.8705850467085838,6.411378126358613e-05,201.88980102539062
2,0.7653770968317986,0.0,168.60537719726562
3,0.7193618834018707,0.0,240.17701721191406
4,0.6925449475646019,0.0,201.84869384765625
5,0.6696503549814224,0.0,0.0
6,0.6546234101057052,0.0,0.0
7,0.6448465377092362,0.0,0.0
8,0.6369824677705764,0.0,0.0
9,0.6346991062164307,0.0,0.0
10,0.6291696786880493,0.0,0.0
11,0.6246117919683456,0.0,0.0
12,0.6251507923007011,0.0,0.0
13,0.6235954627394676,0.0,0.0
14,0.6225048080086708,0.0,0.0
15,0.6204444274306298,0.0,0.0
16,0.6212323263287545,0.0,0.0
17,0.6213179275393486,0.0,0.0
18,0.6189829483628273,0.0,0.0
19,0.619764830172062,0.0,0.0
20,0.6193276926875114,0.0,0.0
21,0.614373841881752,0.0,0.0
22,0.6167767271399498,0.0,0.0
23,0.6174764811992646,0.0,0.0
24,0.6193192273378372,0.0,0.0
25,0.6169557049870491,0.0,0.0
26,0.6174539640545845,0.0,0.0
1,0.7270287156105042,0.0,148.7575225830078
2,0.6541013330221176,0.0,207.21435546875
3,0.630707348883152,0.0,155.25140380859375
4,0.6256407186388969,0.0,0.0
5,0.622003698348999,0.0,0.0
6,0.621579310297966,0.0,0.0
1,0.8152658492326736,5.617977512883954e-05,175.65249633789062
2,0.6730424776673317,0.0,131.0928497314453
3,0.6380524814128876,0.0,168.83187866210938
4,0.6272888794541359,0.0,157.9759521484375
5,0.6212635308504104,0.0,169.3665771484375
6,0.6216667741537094,0.0,162.8748016357422
7,0.6197377473115921,0.0,129.6271514892578
8,0.6147461205720901,0.0,0.0
9,0.6177768498659134,0.0,0.0
10,0.6175887882709503,0.0,0.0
11,0.6123718962073326,0.0,0.0
12,0.6165408968925477,0.0,0.0
13,0.615233413875103,0.0,0.0
14,0.6158802524209023,0.0,0.0
15,0.6087695270776748,0.0,0.0
16,0.6141557633876801,0.0,0.0
17,0.6125791385769844,0.0,0.0
18,0.6136683255434037,0.0,0.0
19,0.614871808886528,0.0,0.0
20,0.6138292148709297,0.0,0.0
21,0.6113296672701836,0.0,0.0
22,0.6105312630534172,0.0,0.0
23,0.6105682402849197,0.0,0.0
24,0.6132441475987435,0.0,0.0
25,0.6153472304344177,0.0,0.0
26,0.6065007030963898,0.0,0.0
27,0.6071678251028061,0.0,0.0
28,0.6107276082038879,0.0,0.0
29,0.6085696741938591,0.0,0.0
30,0.6081849187612534,0.0,0.0
31,0.614083968102932,0.0,0.0
32,0.6102135375142097,0.0,0.0
33,0.6102719277143478,0.0,0.0
34,0.6149308070540428,0.0,0.0
35,0.6074283316731452,0.0,0.0
36,0.6138027384877205,0.0,0.0
37,0.6070036605000496,0.0,0.0
38,0.6103699207305908,0.0,0.0
39,0.6135909497737885,0.0,0.0
40,0.609934714436531,0.0,10.079507827758789
41,0.6061726480722427,0.003937007859349251,98.24110412597656
42,0.6119332477450371,0.004511278122663498,98.3885269165039
43,0.6139550730586052,0.010031348094344139,109.9593734741211
44,0.6094919174909592,0.0015810277545824647,106.755126953125
45,0.6097242727875709,0.0058823530562222,99.27462768554688
46,0.6098719209432601,0.007067137863487005,99.27239990234375
47,0.6112032994627953,0.008480565622448921,104.56205749511719
48,0.6100262641906739,0.009287925437092781,99.60387420654297
49,0.6081557393074035,0.01243339292705059,111.68180847167969
50,0.6128631383180618,0.00965147465467453,98.14897918701172
51,0.6094817698001862,0.00982658937573433,89.80038452148438
52,0.6081387251615524,0.009631728753447533,102.46304321289062
53,0.6122926399111748,0.010179076343774796,113.22755432128906
54,0.6119920209050178,0.011834319680929184,104.62380981445312
55,0.6054172188043594,0.009159034118056297,113.65117645263672
56,0.6078745931386947,0.010067114606499672,98.48341369628906
57,0.6125968605279922,0.008498583920300007,102.88307189941406
58,0.6109867379069328,0.006506666541099548,111.09310150146484
59,0.6084614217281341,0.005896116141229868,110.80363464355469
60,0.6138527616858482,0.006208955310285091,112.71746063232422
61,0.6134491473436355,0.004666012246161699,117.00065612792969
62,0.6081655994057655,0.005271160509437323,106.05628967285156
63,0.6129870325326919,0.004570970311760902,111.88948822021484
64,0.6150452598929406,0.004637396894395351,102.49882507324219
65,0.6124654069542885,0.004904171451926231,105.0969467163086
66,0.6091409578919411,0.005000036209821701,101.48391723632812
67,0.6059206634759903,0.0048624128103256226,105.7916488647461
68,0.6099759742617608,0.0034840821754187346,100.27537536621094
69,0.6086601704359055,0.004651572555303574,101.65763854980469
70,0.6086198389530182,0.004798170179128647,104.91740417480469
71,0.6045647442340851,0.0029087222646921873,105.69719696044922
72,0.6129673197865486,0.005297699477523565,113.03570556640625
73,0.606037475168705,0.0028320192359387875,100.62783813476562
74,0.610206289589405,0.0054825409315526485,119.19195556640625
75,0.603695809841156,0.005608995910733938,111.36488342285156
76,0.6099344000220299,0.007279868237674236,123.13938903808594
77,0.6093012243509293,0.007136368192732334,112.91496276855469
78,0.6034737050533294,0.0065050809644162655,128.9891815185547
79,0.6047407791018486,0.008149520494043827,124.3056640625
80,0.6148494899272918,0.006819283124059439,139.5189666748047
81,0.6137573689222335,0.001255886978469789,132.6128692626953
82,0.6075803741812706,0.0077972994185984135,130.21914672851562
83,0.6110022589564323,0.007362856063991785,130.43936157226562
84,0.610118268430233,0.0072840675711631775,137.61044311523438
85,0.6063020721077919,0.004244393203407526,132.0182342529297
86,0.6021868646144867,0.0063038235530257225,142.4187774658203
87,0.6099705189466477,0.007880618795752525,139.3546142578125
88,0.6064957797527313,0.007067653350532055,141.61354064941406
89,0.6089551478624344,0.00494339456781745,137.72389221191406
90,0.6126378700137138,0.009159850887954235,139.8119659423828
91,0.6064313665032387,0.006349172443151474,138.48818969726562
92,0.612680421769619,0.006402792874723673,139.45745849609375
93,0.6016094624996186,0.011013837531208992,144.90493774414062
94,0.6107290059328079,0.007797141559422016,146.81912231445312
95,0.606521050632,0.006322101689875126,139.53286743164062
96,0.6118554919958115,0.005951336584985256,148.26028442382812
97,0.606724563241005,0.011521464213728905,153.9979248046875
98,0.6056972503662109,0.007886596024036407,148.54397583007812
99,0.6034789964556694,0.008739626035094261,155.84487915039062
100,0.6139468669891357,0.007409536745399237,156.3210906982422
101,0.6075093880295753,0.006038824561983347,151.07003784179688
102,0.6097498059272766,0.006500188261270523,145.81259155273438
103,0.609558230638504,0.0069991350173950195,152.27011108398438
104,0.6056133106350898,0.006029798649251461,147.57119750976562
105,0.6057004138827324,0.005699175875633955,150.28892517089844
106,0.599962069094181,0.007378848735243082,151.6238555908203
107,0.604929955303669,0.008577177301049232,156.316162109375
108,0.6081328451633453,0.004798875190317631,151.6520538330078
109,0.6108428373932838,0.004665598273277283,153.99966430664062
110,0.6015239283442497,0.00730027724057436,148.3621368408203
111,0.6058268874883652,0.008092154748737812,150.23646545410156
112,0.6034983471035957,0.0066976770758628845,148.49575805664062
113,0.6007377207279205,0.007438978645950556,154.74940490722656
114,0.607152134180069,0.006290289107710123,152.8871307373047
115,0.6065315619111061,0.004434560425579548,134.306884765625
116,0.6091985926032066,0.004532483872026205,146.75204467773438
117,0.6104355111718178,0.005335726775228977,137.42250061035156
118,0.6054543256759644,0.00505466852337122,147.11764526367188
119,0.603590403497219,0.007353278808295727,143.03399658203125
120,0.6066412836313247,0.007630887441337109,157.0343780517578
121,0.6044443011283874,0.005967732518911362,150.18704223632812
122,0.6023284822702408,0.005920693278312683,153.141845703125
123,0.597648249566555,0.006159481126815081,151.20980834960938
124,0.6053071826696396,0.005447001196444035,152.07864379882812
125,0.6004253461956978,0.0057693542912602425,153.11233520507812
126,0.6078222617506981,0.006340614054352045,148.73873901367188
127,0.6098960041999817,0.003720771986991167,129.83828735351562
128,0.605842724442482,0.00391986221075058,147.00926208496094
129,0.6122125014662743,0.004003728739917278,143.96923828125
130,0.613779965043068,0.004411438014358282,152.26380920410156
131,0.6142477482557297,0.004167237784713507,149.98544311523438
132,0.6037861570715904,0.004070792347192764,151.564208984375
133,0.6092418059706688,0.00465997401624918,146.3294677734375
134,0.6038974285125732,0.004339006729424,147.94485473632812
135,0.6084872916340828,0.005158852785825729,142.37718200683594
136,0.6058275118470192,0.005524369888007641,149.38912963867188
137,0.6050921112298966,0.00594767089933157,154.16488647460938
138,0.6040991827845573,0.007133308798074722,153.38052368164062
139,0.598929975926876,0.007685030344873667,158.37722778320312
140,0.6015351220965386,0.005367593374103308,128.1345977783203
141,0.612746798992157,0.003929515369236469,140.16824340820312
142,0.6010075882077217,0.0040948339737951756,137.96673583984375
143,0.6015710458159447,0.005014198832213879,149.34463500976562
144,0.5934006303548813,0.010479534976184368,157.1210479736328
145,0.6059524193406105,0.005464022513478994,148.3444366455078
146,0.6065307661890984,0.006412179674953222,150.24545288085938
147,0.6033440917730332,0.0,161.22340393066406
148,0.6058435797691345,0.005690517835319042,152.32797241210938
149,0.6041329205036163,0.005439681466668844,151.88705444335938
150,0.6113985009491444,0.006863328628242016,151.25064086914062
151,0.6038089007139206,0.004056497942656279,138.84365844726562
152,0.5963149100542069,0.005633858498185873,159.67861938476562
153,0.6031623728573322,0.007590222172439098,156.44711303710938
154,0.6028968080878258,0.007400174625217915,158.0601806640625
155,0.5995535105466843,0.005730471108108759,144.13473510742188
156,0.5954847037792206,0.007233570329844952,160.83139038085938
157,0.6075809501111508,0.004922426771372557,153.3057098388672
158,0.5990339681506157,0.0058331964537501335,159.15997314453125
159,0.597915518283844,0.007123281247913837,161.33242797851562
160,0.6101172402501106,0.006480704993009567,157.7923126220703
1,0.7927903473377228,0.0,179.38540649414062
2,0.6696608603000641,0.0,107.0516357421875
3,0.6368953913450242,0.0,159.7676544189453
4,0.624600100517273,0.0,158.22317504882812
5,0.6236942574381829,0.0,163.8273468017578
6,0.6223048955202103,0.0,0.0
7,0.6175929471850395,0.0,0.0
8,0.6115775763988495,0.0,0.0
9,0.6173629656434059,0.0,0.0
10,0.6121065750718117,0.0,0.0
11,0.6117233097553253,0.0,0.0
12,0.6126398041844368,0.0,0.0
13,0.6129822582006454,0.0,145.84060668945312
14,0.6141828745603561,0.0,146.18116760253906
15,0.6136144787073136,0.0,124.83435821533203
16,0.6102887466549873,0.0010928960982710123,124.44258117675781
17,0.6130269974470138,0.0015779093373566866,114.70616912841797
18,0.610090471804142,0.001754386001266539,122.58769989013672
19,0.6104912251234055,0.0031176928896456957,111.4665756225586
